,carat,cut,color,clarity,depth,table,x,y,z,group,price_predicted
965,1.2,Ideal,F,VS2,62.3,56.0,6.82,6.79,4.24,0,8248.596831663202
966,0.29,Ideal,F,VS2,61.6,56.0,4.28,4.32,2.65,1,544.3491925950783
967,1.52,Very Good,I,VS2,63.3,61.0,7.27,7.23,4.59,0,8738.244369029293
968,1.01,Good,D,SI1,63.1,60.0,6.32,6.39,4.01,0,5169.709087297436
969,1.2,Ideal,F,SI1,61.5,53.0,6.87,6.9,4.24,0,6978.182389416375
970,0.5,Ideal,F,VVS2,62.2,54.0,5.07,5.12,3.17,1,1825.473443099295
971,0.35,Ideal,E,VS2,61.6,56.0,4.54,4.52,2.79,1,840.2365703053497
972,0.53,Ideal,E,VS2,61.5,56.0,5.18,5.23,3.2,1,1775.7508722298487
973,0.55,Ideal,F,VS2,60.9,57.0,5.3,5.34,3.24,1,1853.4210591772655
974,2.07,Ideal,J,VVS2,62.7,54.0,8.17,8.12,5.11,0,14648.693524279064
975,2.01,Premium,E,SI2,58.7,54.0,8.27,8.2,4.83,0,15590.543286386932
976,0.3,Very Good,D,SI2,61.8,58.0,4.29,4.32,2.66,1,442.94179063960826
977,0.74,Ideal,G,VVS2,60.9,58.0,5.85,5.88,3.57,1,3535.3247648816946
978,1.02,Very Good,G,SI1,63.0,55.0,6.4,6.45,4.05,1,4499.620029577486
979,2.0,Premium,I,VS1,61.1,58.0,8.08,8.11,4.95,0,16407.29926240591
980,1.51,Premium,J,VVS2,62.6,59.0,7.33,7.31,4.58,1,8328.02769814949
981,0.3,Ideal,F,SI1,60.6,57.0,4.34,4.37,2.64,1,491.3873302215
982,0.57,Ideal,E,VS1,61.0,56.0,5.38,5.4,3.29,1,2387.592863197408
983,2.15,Ideal,I,SI1,62.5,57.0,8.2,8.16,5.11,0,15834.25131349843
984,0.97,Premium,F,SI2,61.9,58.0,6.31,6.35,3.92,1,3808.5480606460114
985,1.2,Premium,D,SI2,62.0,58.0,6.84,6.77,4.22,0,6360.404651730826
986,0.26,Ideal,G,SI1,62.2,54.0,4.11,4.12,2.56,1,359.36240969581394
987,1.51,Premium,G,VS2,62.5,59.0,7.34,7.28,4.57,0,11399.734109542329
988,0.31,Ideal,E,VS2,60.5,56.0,4.41,4.38,2.66,1,675.076204726265
989,0.79,Premium,H,SI2,62.8,57.0,5.91,5.88,3.7,1,2376.1742939813103
990,0.77,Premium,G,SI2,61.2,58.0,5.99,5.96,3.64,1,2339.296849856247
991,0.57,Good,F,VS1,60.0,61.0,5.35,5.38,3.22,1,2135.090622472867
992,0.27,Ideal,G,VVS2,62.8,56.0,4.12,4.16,2.6,1,523.5887842970491
993,0.52,Ideal,G,VVS2,61.0,56.0,5.24,5.18,3.18,1,1812.0651271797215
994,0.43,Ideal,G,IF,61.2,57.0,4.81,4.86,2.96,1,1714.9067705528978
995,0.6,Ideal,G,VVS2,62.0,57.0,5.41,5.46,3.37,1,2376.285152081927
996,0.36,Premium,D,SI2,61.5,60.0,4.54,4.6,2.81,1,639.5493632748655
997,0.54,Ideal,E,VVS2,62.2,54.0,5.23,5.26,3.26,1,2165.7847395341437
998,0.9,Good,J,SI2,63.9,56.0,6.17,6.1,3.92,1,2401.3223076160025
999,1.0,Premium,G,SI2,62.9,60.0,6.35,6.3,3.98,1,3837.9759718288883
1000,1.03,Very Good,G,SI1,62.6,56.0,6.41,6.44,4.02,1,4583.549780615226
1001,0.53,Very Good,F,SI1,62.5,57.0,5.19,5.24,3.26,1,1371.7724844433142
1002,0.4,Ideal,G,VVS1,62.0,55.0,4.74,4.78,2.95,1,1283.9247097447494
1003,0.64,Premium,H,SI1,60.0,59.0,5.63,5.57,3.36,1,1819.4423598836847
1004,0.35,Very Good,H,VS2,60.1,56.0,4.61,4.64,2.78,1,653.1360909637054
1005,0.9,Premium,H,SI2,59.5,60.0,6.32,6.29,3.75,1,3024.9486561600665
1006,1.09,Good,H,SI1,63.2,57.0,6.54,6.57,4.14,1,4594.500544145497
1007,0.73,Ideal,I,SI1,61.7,55.0,5.78,5.82,3.58,1,2153.1356567952935
1008,0.9,Very Good,F,VS2,63.1,59.0,6.13,6.05,3.84,1,4468.231220268846
1009,1.06,Ideal,I,SI2,61.9,59.0,6.47,6.52,4.02,1,3863.9865991764123
1010,0.7,Premium,F,VS2,60.6,58.0,5.8,5.72,3.49,1,2849.933769819785
1011,1.01,Very Good,H,SI1,61.8,61.0,6.4,6.47,3.98,1,4110.497108199532
1012,0.96,Premium,G,SI2,59.3,58.0,6.49,6.43,3.83,1,3552.378449018267
1013,0.49,Very Good,H,VVS2,62.3,57.0,5.02,5.05,3.14,1,1377.2169225838954
1014,1.06,Ideal,I,VVS1,60.2,57.0,6.62,6.66,4.0,1,5728.641989251075
1015,0.54,Good,D,SI1,63.7,57.0,5.22,5.14,3.3,1,1478.9357171172642
1016,0.52,Very Good,E,SI2,62.6,58.0,5.11,5.14,3.21,1,1158.1965448660278
1017,0.41,Ideal,E,VS1,62.1,56.0,4.78,4.75,2.96,1,1317.9987394060488
1018,0.5,Good,E,VVS2,61.6,62.0,5.04,5.09,3.12,1,1714.3487860120165
1019,1.06,Ideal,I,SI2,62.7,58.0,6.48,6.5,4.07,1,3863.9865991764123
1020,0.44,Ideal,E,SI1,61.1,56.0,4.92,4.9,3.0,1,1076.5509703754683
1021,0.73,Ideal,F,VS1,62.6,56.0,5.73,5.71,3.58,1,3766.9470043685396
1022,0.56,Ideal,D,VS2,61.9,57.0,5.26,5.3,3.27,1,2114.5441040614096
1023,0.42,Very Good,D,SI2,63.1,56.0,4.8,4.74,3.01,1,814.2617874666701
1024,0.81,Very Good,F,VVS2,63.1,56.0,5.99,5.9,3.75,1,4316.996485495744
1025,0.72,Ideal,I,VS2,61.8,56.0,5.72,5.77,3.56,1,2316.6068973704855
1026,0.41,Ideal,D,VS2,62.4,55.0,4.76,4.79,2.98,1,1202.8295554539263
1027,1.01,Very Good,I,SI1,63.3,59.0,6.26,6.22,3.95,1,3683.6704666510173
1028,1.13,Ideal,E,I1,62.0,55.0,6.66,6.7,4.14,0,4830.156053814951
1029,1.53,Premium,F,VS2,58.5,60.0,7.62,7.56,4.44,0,12726.939654767426
1030,0.72,Ideal,H,VVS1,62.5,57.0,5.7,5.73,3.57,1,3371.5022229348274
1031,0.7,Very Good,E,SI2,59.5,56.0,5.79,5.81,3.45,1,1979.6440191468666
1032,1.09,Very Good,G,VS2,60.9,56.0,6.67,6.7,4.07,0,5961.258583282031
1033,1.22,Very Good,I,VS1,61.6,60.0,6.86,6.8,4.21,1,6339.6564218045
1034,0.31,Ideal,D,VS1,60.5,55.0,4.43,4.39,2.67,1,867.8220534594697
1035,0.42,Ideal,G,IF,62.7,56.0,4.76,4.77,2.99,1,1640.146659744705
1036,0.3,Premium,F,VS2,60.7,58.0,4.35,4.32,2.63,1,562.9006694435727
1037,1.31,Premium,J,SI1,60.7,58.0,7.11,7.06,4.3,1,5474.011921415279
1038,1.01,Good,F,SI2,64.3,59.0,6.33,6.26,4.05,1,3864.5070327598132
1039,1.26,Premium,H,SI2,61.3,57.0,6.96,6.87,4.24,0,5495.019819391761
1040,2.23,Premium,J,SI2,60.5,61.0,8.47,8.4,5.1,0,12897.05016032275
1041,0.72,Good,F,SI1,60.4,61.0,5.75,5.8,3.49,1,2389.775087919206
1042,1.0,Fair,F,VS2,64.7,59.0,6.22,6.15,4.0,1,5134.136878125958
1043,0.53,Good,I,VS1,64.3,55.0,5.17,5.13,3.31,1,1337.4280751700526
1044,2.01,Very Good,G,SI1,63.1,59.0,8.03,7.98,5.05,0,16314.41991068233
1045,0.32,Ideal,D,VVS2,61.3,55.8,4.43,4.44,2.71,1,919.1374508918595
1046,1.04,Ideal,H,SI1,62.7,54.0,6.51,6.47,4.07,1,4606.314457612214
1047,1.22,Ideal,G,IF,61.7,56.0,6.87,6.91,4.25,0,12401.958972423461
1048,1.0,Good,H,SI1,63.7,60.0,6.33,6.3,4.02,1,3916.8089852505973
1049,0.31,Ideal,D,IF,61.1,56.0,4.39,4.42,2.69,1,1242.5347407449335
1050,2.01,Premium,H,VS2,62.8,58.0,7.99,7.9,4.99,0,16686.30671464116
1051,0.36,Ideal,F,VS1,61.3,54.0,4.63,4.65,2.84,1,973.3587031220743
1052,0.39,Very Good,I,VVS2,62.7,58.0,4.65,4.67,2.92,1,784.8574018595801
1053,0.33,Premium,G,VS1,61.6,58.0,4.44,4.39,2.72,1,742.4269108443399
1054,0.32,Premium,I,IF,60.3,58.0,4.45,4.41,2.67,1,684.6308080919433
1055,0.4,Ideal,F,SI2,62.1,54.0,4.75,4.78,2.96,1,721.026686267762
1056,1.0,Very Good,D,SI1,62.1,61.0,6.3,6.32,3.92,0,5271.039388753717
1057,0.33,Fair,H,VVS2,65.1,59.0,4.4,4.32,2.84,1,623.9706455568851
1058,1.5,Ideal,G,VS1,61.3,56.0,7.41,7.37,4.53,0,13522.461367742822
1059,0.81,Very Good,I,VS1,63.2,59.0,5.9,5.84,3.71,1,2993.898643386255
1060,0.32,Very Good,G,VVS1,60.9,57.0,4.41,4.44,2.69,1,790.8995970062969
1061,1.11,Very Good,H,VS1,63.2,57.0,6.61,6.53,4.15,1,6260.684866066816
1062,0.5,Ideal,H,VS2,60.8,56.0,5.17,5.19,3.14,1,1342.049544660555
1063,0.33,Good,I,VS1,63.1,56.0,4.38,4.4,2.77,1,561.5113885067683
1064,0.27,Fair,E,VS1,66.4,58.0,3.99,4.02,2.66,1,546.7144321372681
1065,1.7,Ideal,H,I1,61.3,55.0,7.7,7.63,4.7,0,8717.77829701571
1066,0.4,Very Good,E,SI1,60.8,62.0,4.72,4.76,2.88,1,850.9314277053728
1067,1.51,Good,E,SI2,63.1,58.0,7.28,7.31,4.6,0,8736.851487679563
1068,0.3,Very Good,E,VS2,61.9,61.0,4.28,4.32,2.66,1,597.2802759648741
1069,0.64,Very Good,D,SI1,63.7,54.0,5.47,5.52,3.5,1,2087.9228567782984
1070,0.9,Good,F,SI1,62.8,64.0,6.18,5.99,3.82,1,3663.26155498157
1071,1.0,Very Good,H,SI2,60.2,61.0,6.44,6.48,3.89,1,3568.547317699267
1072,1.01,Ideal,D,VS2,59.8,56.0,6.49,6.52,3.89,0,6920.762845937529
1073,0.41,Very Good,E,SI1,62.9,57.0,4.72,4.76,2.98,1,889.6795452042245
1074,1.0,Fair,F,VS2,68.4,58.0,5.97,6.1,4.13,1,5134.136878125958
1075,0.31,Very Good,G,SI1,61.5,59.0,4.34,4.38,2.68,1,471.3981461640408
1076,1.03,Very Good,D,SI2,61.8,60.0,6.42,6.45,3.98,0,4647.144512898591
1077,1.03,Premium,H,SI1,61.9,58.0,6.49,6.43,4.0,1,4391.608138576438
1078,0.91,Premium,G,VVS2,61.8,58.0,6.24,6.16,3.83,1,5071.430567939042
1079,0.31,Very Good,E,VVS1,60.0,56.0,4.45,4.49,2.68,1,881.1429079363509
1080,0.8,Very Good,E,SI1,62.9,60.0,5.87,5.89,3.7,1,2970.0343721578447
1081,1.02,Very Good,D,SI1,62.7,60.0,6.34,6.39,3.99,0,5463.339597972539
1082,1.0,Ideal,G,VS1,62.5,54.0,6.41,6.45,4.02,1,6253.733956972287
1083,0.34,Premium,D,SI1,62.8,58.0,4.48,4.44,2.8,1,690.0728532977945
1084,1.0,Ideal,G,VS2,62.3,54.0,6.42,6.38,3.99,1,5369.507742112043
1085,0.73,Ideal,G,VS2,61.7,56.0,5.79,5.81,3.58,1,2958.226523656796
1086,0.34,Good,E,SI1,63.3,57.0,4.44,4.47,2.82,1,614.9845084508814
1087,1.0,Premium,J,SI1,62.8,59.0,6.37,6.27,3.97,1,3330.5857264934734
1088,0.54,Ideal,G,VS1,61.8,55.3,5.22,5.24,3.23,1,1946.3531087852507
1089,1.02,Very Good,F,SI2,60.9,58.0,6.43,6.55,3.95,1,4063.63583061089
1090,0.8,Very Good,G,VVS2,62.5,56.0,5.95,5.98,3.73,1,3852.309741228743
1091,0.31,Very Good,H,SI1,61.0,61.0,4.33,4.39,2.66,1,461.31981398571725
1092,2.0,Premium,D,SI2,61.6,59.0,8.2,8.09,5.02,0,16029.431157474513
1093,1.5,Premium,J,VVS2,61.5,60.0,7.31,7.27,4.48,1,8226.826691505628
1094,1.22,Premium,I,SI2,62.5,58.0,6.8,6.76,4.24,1,4856.669455916603
1095,0.72,Very Good,I,VS2,61.8,60.0,5.72,5.76,3.55,1,2186.666695382298
1096,0.3,Good,G,SI2,63.3,57.0,4.25,4.28,2.7,1,368.7953007208078
1097,0.54,Good,E,VS2,60.2,61.0,5.27,5.32,3.19,1,1670.2469028201401
1098,1.02,Premium,F,SI1,62.3,58.0,6.38,6.46,4.0,1,4956.584238831412
1099,1.01,Very Good,F,VS2,63.1,60.0,6.39,6.29,4.0,1,5571.852012292076
1100,0.3,Ideal,G,IF,60.9,56.0,4.34,4.36,2.65,1,867.1158286153559
1101,1.19,Premium,I,SI2,61.6,56.0,6.87,6.83,4.22,1,4640.146383834683
1102,1.51,Good,I,SI2,63.6,60.0,7.23,7.27,4.61,0,6888.587835698014
1103,1.02,Good,G,I1,57.4,59.0,6.64,6.6,3.8,1,3216.204237948571
1104,3.22,Ideal,I,I1,62.6,55.0,9.49,9.42,5.92,0,27253.14929489153
1105,0.41,Ideal,E,SI1,62.9,57.0,4.76,4.72,2.98,1,947.8236158822056
1106,0.52,Very Good,D,SI2,62.4,59.0,5.05,5.15,3.18,1,1198.399720304221
1107,1.52,Premium,D,SI1,60.8,61.0,7.39,7.26,4.45,0,11673.209543477595
1108,0.36,Ideal,H,VVS1,62.0,54.0,4.59,4.61,2.85,1,934.0710604174562
1109,0.51,Premium,D,SI1,62.7,59.0,5.08,5.06,3.18,1,1437.2440846783788
1110,0.53,Premium,J,VS2,62.7,56.0,5.18,5.15,3.24,1,1120.7834354099375
1111,1.01,Good,F,SI2,61.3,62.0,6.44,6.48,3.96,1,3864.5070327598132
1112,0.7,Good,F,I1,63.9,60.0,5.65,5.52,3.58,1,1620.5468305917998
1113,0.34,Ideal,H,VS2,61.2,55.0,4.49,4.53,2.76,1,657.0685413431513
1114,1.04,Premium,G,VS2,62.2,58.0,6.49,6.4,4.01,1,5607.610083444983
1115,0.39,Premium,E,VS2,60.1,61.0,4.76,4.72,2.85,1,989.4789714341532
1116,1.01,Premium,F,VS1,61.7,58.0,6.4,6.43,3.96,1,6796.217726300613
1117,0.3,Very Good,F,VVS1,62.6,56.0,4.27,4.29,2.68,1,762.2147281260135
1118,1.71,Ideal,G,VS1,63.0,56.0,7.65,7.58,4.8,0,17332.002876592956
1119,1.1,Premium,H,VS2,61.4,58.0,6.68,6.62,4.08,1,5609.224771571624
1120,1.15,Ideal,H,SI2,62.6,55.0,6.74,6.65,4.19,1,4906.9352865401015
1121,0.32,Ideal,H,VS1,61.8,55.0,4.41,4.42,2.73,1,664.1339806163285
1122,2.01,Premium,G,SI2,59.9,62.0,8.15,8.04,4.85,0,14447.379175644157
1123,0.24,Very Good,G,VVS1,61.7,56.0,3.98,4.02,2.46,1,458.6210478799462
1124,0.41,Very Good,E,SI2,62.9,58.0,4.74,4.77,2.99,1,754.4663437713475
1125,0.28,Very Good,D,VVS1,60.6,58.0,4.23,4.25,2.57,1,801.4643018784244
1126,0.31,Premium,D,SI1,60.9,60.0,4.38,4.39,2.67,1,583.852548186737
1127,0.45,Good,F,VS2,56.8,62.0,5.1,5.14,2.91,1,1148.8311546934096
1128,0.44,Very Good,E,VS1,60.7,58.0,4.88,4.91,2.97,1,1405.167662461135
1129,0.37,Ideal,F,VVS1,61.3,56.0,4.65,4.68,2.86,1,1212.5199039808426
1130,0.9,Premium,G,VS2,62.4,61.0,6.17,6.13,3.84,1,4264.176651901696
1131,0.53,Ideal,F,SI2,62.2,53.0,5.19,5.22,3.24,1,1235.674904914534
1132,0.54,Premium,I,IF,58.8,61.0,5.35,5.29,3.13,1,1785.329844452362
1133,1.0,Very Good,E,VS2,59.0,58.0,6.49,6.53,3.84,0,5963.876588641582
1134,0.32,Ideal,F,IF,61.3,57.0,4.42,4.46,2.72,1,1085.4985385881266
1135,1.23,Premium,H,SI2,61.2,57.0,6.89,6.86,4.21,0,5255.203107061718
1136,1.02,Very Good,E,SI2,62.8,55.0,6.4,6.43,4.03,0,4444.781596052825
1137,0.56,Premium,E,VVS2,59.2,56.0,5.49,5.39,3.22,1,2240.5320239676685
1138,0.43,Ideal,H,IF,62.2,55.0,4.87,4.84,3.02,1,1467.8290436655973
1139,0.52,Ideal,G,VS1,62.1,54.0,5.14,5.17,3.2,1,1812.0651271797215
1140,0.38,Very Good,G,SI1,61.8,53.7,4.67,4.69,2.9,1,693.2383748389278
1141,0.9,Very Good,I,VVS1,63.4,57.0,6.09,6.12,3.87,1,4006.9050527962695
1142,1.72,Premium,H,SI1,62.0,57.0,7.67,7.63,4.74,0,11057.414145172443
1143,0.31,Very Good,H,SI1,61.7,59.0,4.36,4.39,2.7,1,461.31981398571725
1144,2.02,Premium,F,SI2,61.0,59.0,8.2,8.13,4.98,0,15503.254613421683
1145,0.56,Ideal,E,VVS2,61.0,56.0,5.32,5.36,3.26,1,2312.587189079584
1146,0.42,Ideal,G,IF,62.0,57.0,4.82,4.8,2.98,1,1640.146659744705
1147,0.34,Very Good,I,SI1,61.3,61.0,4.45,4.49,2.74,1,501.3424483646829
1148,0.43,Ideal,G,VS1,62.3,56.0,4.82,4.85,3.01,1,1264.243289874421
1149,1.51,Fair,J,SI1,63.4,60.0,7.31,7.18,4.59,1,6554.768291255402
1150,0.32,Very Good,G,VS2,60.2,57.0,4.42,4.45,2.67,1,583.0576481759543
1151,1.24,Premium,G,VS1,62.0,55.0,6.95,6.89,4.29,0,9141.871434734698
1152,0.31,Ideal,E,VS1,61.4,56.0,4.38,4.35,2.68,1,796.0613429047522
1153,1.32,Ideal,G,VVS2,62.3,57.0,6.96,7.04,4.36,0,10614.293365097701
1154,1.02,Ideal,H,SI2,61.6,55.0,6.49,6.43,3.98,1,3929.4930735238167
1155,0.7,Very Good,J,VS2,61.1,61.0,5.64,5.69,3.46,1,1820.0248145909795
1156,1.0,Premium,F,VS1,62.7,55.0,6.39,6.34,3.99,1,6667.991744640018
1157,0.41,Ideal,G,VS2,61.4,59.0,4.78,4.76,2.93,1,991.8444504265893
1158,0.52,Premium,G,SI1,59.7,60.0,5.22,5.2,3.11,1,1295.214152120634
1159,0.51,Very Good,D,VS2,60.5,60.0,5.16,5.19,3.13,1,1656.6082287032532
1160,0.3,Premium,D,SI1,61.7,59.0,4.28,4.31,2.65,1,550.2185530805641
1161,0.39,Good,D,VVS2,58.1,60.0,4.82,4.85,2.81,1,1175.1499719913077
1162,0.38,Premium,G,IF,62.5,60.0,4.64,4.61,2.89,1,1315.6024532762858
1163,1.01,Premium,F,SI2,58.3,58.0,6.56,6.55,3.82,1,4114.849939295855
1164,1.36,Ideal,G,SI1,60.9,56.0,7.15,7.16,4.36,0,8280.191141690275
1165,1.21,Ideal,I,SI1,60.6,55.0,6.92,6.87,4.18,1,5433.501536398273
1166,0.3,Very Good,F,IF,62.1,57.0,4.26,4.3,2.66,1,900.979888545605
1167,0.41,Premium,D,VVS1,62.2,58.0,4.77,4.71,2.95,1,1658.9462083772305
1168,2.03,Premium,J,VS1,59.3,60.0,8.36,8.28,4.93,0,13754.424754120866
1169,0.36,Ideal,D,SI1,62.5,56.0,4.55,4.57,2.85,1,794.4428200747552
1170,0.4,Premium,D,SI1,61.4,56.0,4.83,4.72,2.93,1,925.9995532248764
1171,2.11,Premium,D,SI2,60.9,60.0,8.28,8.21,5.02,0,17660.10299779585
1172,1.06,Ideal,H,SI1,63.0,55.0,6.49,6.44,4.08,1,4771.693515437211
1173,0.33,Good,I,VS1,63.2,57.0,4.37,4.4,2.77,1,561.5113885067683
1174,0.72,Premium,E,IF,61.3,60.0,5.74,5.71,3.51,1,4901.916672573347
1175,1.51,Good,J,SI1,62.4,64.0,7.31,7.23,4.54,1,6734.737149413211
1176,1.0,Premium,G,VS2,62.9,56.0,6.42,6.27,3.99,1,5206.095244501926
1177,1.02,Ideal,F,SI1,62.8,55.0,6.43,6.4,4.03,1,5114.609035721656
1178,0.43,Ideal,E,SI2,62.1,56.0,4.85,4.84,3.01,1,875.8619686690469
1179,1.0,Fair,G,I1,66.4,59.0,6.16,6.09,4.07,1,3003.517947344996
1180,1.7,Premium,I,SI1,58.6,59.0,7.79,7.75,4.55,0,10005.519100127476
1181,0.72,Ideal,D,SI2,61.1,58.0,5.76,5.79,3.53,1,2327.206112380677
1182,1.22,Premium,G,SI1,63.0,57.0,6.84,6.74,4.28,0,6535.0394121348945
1183,1.06,Good,F,VS1,58.5,57.0,6.68,6.73,3.92,1,7001.275101268992
1184,1.11,Ideal,H,SI1,60.2,54.0,6.82,6.7,4.07,1,5196.847569668892
1185,1.01,Premium,H,SI2,61.9,59.0,6.42,6.37,3.96,1,3745.0137305936346
1186,1.06,Premium,G,VVS1,61.1,58.0,6.53,6.57,4.0,0,7910.618912532165
1187,1.54,Premium,E,SI2,59.0,62.0,7.59,7.56,4.47,0,9643.982506561748
1188,0.56,Very Good,E,SI1,58.5,59.0,5.42,5.45,3.18,1,1561.0496862482776
1189,0.25,Good,F,VS1,63.6,57.0,4.01,4.04,2.56,1,440.79451834733743
1190,0.9,Ideal,D,SI1,61.6,56.0,6.19,6.21,3.82,1,4169.95717939782
1191,0.56,Fair,E,SI2,64.5,61.0,5.18,5.14,3.33,1,1242.593484161
1192,0.31,Ideal,F,IF,60.8,56.0,4.43,4.45,2.7,1,1021.4918138506293
1193,0.39,Very Good,D,VS2,60.2,59.0,4.74,4.76,2.86,1,1019.539391746566
1194,1.01,Premium,F,VS1,59.4,60.0,6.5,6.46,3.85,1,6796.217726300613
1195,2.02,Ideal,I,SI1,62.4,56.0,8.07,8.11,5.05,0,14124.717633403201
1196,1.03,Ideal,D,SI2,61.2,57.0,6.51,6.59,4.01,0,5008.243858233593
1197,1.57,Premium,H,VS1,61.7,58.0,7.47,7.56,4.64,0,11941.825487807873
1198,0.31,Very Good,D,IF,62.0,56.0,4.33,4.35,2.69,1,1152.9467545885964
1199,0.5,Premium,D,SI1,61.1,59.0,5.08,5.04,3.09,1,1386.65555119517
1200,0.3,Ideal,E,VS2,62.4,57.0,4.29,4.24,2.66,1,636.3149000241402
1201,1.22,Very Good,D,SI2,62.2,58.0,6.85,6.91,4.28,0,6312.838628112236
1202,0.27,Very Good,F,VVS2,61.9,58.0,4.17,4.2,2.59,1,527.0452110892963
1203,0.41,Ideal,E,VVS1,61.9,55.0,4.79,4.78,2.96,1,1554.2065311927126
1204,1.24,Premium,F,SI1,61.6,59.0,6.9,6.86,4.24,0,7200.6592585236
1205,0.41,Very Good,I,VVS1,62.0,56.0,4.75,4.77,2.95,1,949.1389548026453
1206,0.4,Ideal,G,SI2,62.5,53.0,4.75,4.79,2.98,1,697.7821277246693
1207,1.01,Ideal,F,SI1,62.0,57.0,6.38,6.42,3.97,1,5019.052199666264
1208,1.5,Premium,I,VS1,62.7,59.0,7.25,7.3,4.56,1,9527.290176304294
1209,0.56,Ideal,D,SI2,61.3,56.0,5.3,5.33,3.26,1,1476.8585105451662
1210,0.36,Ideal,I,VS1,62.1,57.0,4.54,4.58,2.83,1,718.0980807642978
1211,1.51,Premium,I,VS2,59.9,60.0,7.42,7.36,4.43,0,8886.034402859916
1212,1.3,Very Good,I,VS1,62.1,59.0,6.97,7.01,4.34,1,7121.850233829069
1213,0.32,Ideal,G,VVS1,61.7,56.0,4.41,4.37,2.71,1,841.3294314653413
1214,0.26,Very Good,E,SI1,62.0,54.0,4.08,4.11,2.54,1,391.29931553983835
1215,1.51,Very Good,E,SI2,61.8,57.0,7.34,7.32,4.53,0,9017.82728707395
1216,0.33,Premium,E,VVS1,60.1,58.0,4.51,4.47,2.7,1,1018.0256389879971
1217,1.34,Ideal,G,VS1,62.7,57.0,7.04,7.1,4.43,0,10920.997189546026
1218,1.01,Good,E,SI1,63.2,59.0,6.25,6.28,3.96,0,4988.6262421326455
1219,1.0,Premium,G,VS2,60.0,59.0,6.54,6.46,3.9,1,5206.095244501926
1220,1.42,Ideal,F,VVS1,60.8,56.0,7.25,7.32,4.43,0,15907.485820576152
1221,0.9,Premium,H,VS2,61.2,61.0,6.18,6.08,3.75,1,3868.2920184006753
1222,1.01,Very Good,E,VS2,63.4,60.0,6.37,6.31,4.02,0,6071.858771405385
1223,0.36,Premium,D,VS2,60.5,58.0,4.63,4.6,2.79,1,915.6972896949269
1224,0.7,Premium,E,SI1,59.1,62.0,5.8,5.74,3.41,1,2409.5048052304037
1225,0.37,Good,G,SI2,63.3,55.0,4.58,4.61,2.91,1,548.6762220720685
1226,0.91,Very Good,E,SI1,63.3,56.0,6.12,6.17,3.89,0,4266.498526575141
1227,0.8,Ideal,H,VS2,62.8,57.0,5.91,5.87,3.7,1,3204.4636372738905
1228,0.9,Good,E,SI2,63.4,60.0,6.02,6.07,3.83,1,3017.6400955078147
1229,0.31,Ideal,G,IF,61.7,56.0,4.38,4.34,2.69,1,922.6825627228212
1230,1.51,Good,G,VS1,62.4,59.0,7.25,7.28,4.53,0,12481.159214648165
1231,1.11,Premium,I,SI2,61.5,58.0,6.65,6.61,4.08,1,4084.7718714898024
1232,0.41,Ideal,H,VS1,61.0,54.0,4.84,4.8,2.94,1,1050.922655332905
1233,1.01,Very Good,J,SI2,62.8,59.0,6.34,6.37,3.99,1,3050.432418617894
1234,0.7,Ideal,D,VS2,61.6,58.0,5.66,5.7,3.5,1,3166.4640765023214
1235,1.63,Ideal,G,VS1,61.7,55.0,7.6,7.56,4.68,0,15828.212730705482
1236,1.61,Premium,D,SI2,61.3,58.0,7.56,7.49,4.61,0,10825.71484831505
1237,0.72,Very Good,H,SI1,63.0,58.0,5.68,5.71,3.59,1,2196.353323161952
1238,0.54,Premium,G,VS2,62.0,58.0,5.21,5.18,3.22,1,1620.2959277586897
1239,1.22,Very Good,G,IF,62.0,59.0,6.8,6.85,4.23,0,11658.577468631458
1240,0.33,Premium,G,IF,59.4,59.0,4.54,4.49,2.68,1,1007.0790537271492
1241,1.34,Very Good,G,VS2,60.7,59.0,7.04,7.07,4.28,0,8814.803572763552
1242,0.76,Ideal,H,VVS1,61.8,57.0,5.82,5.86,3.61,1,3726.537074307997
1243,1.74,Ideal,E,SI2,62.3,57.0,7.8,7.7,4.83,0,12406.039395098176
1244,0.32,Ideal,G,SI1,61.3,57.0,4.37,4.4,2.69,1,532.5388487906032
1245,0.5,Ideal,F,VS2,61.1,58.0,5.1,5.13,3.13,1,1544.3216456021448
1246,1.44,Good,G,I1,63.2,54.8,7.18,7.21,4.54,0,6199.917606090674
1247,0.7,Fair,I,SI1,65.2,58.0,5.6,5.56,3.64,1,1776.4292252792386
1248,0.52,Ideal,E,VS2,61.4,54.0,5.2,5.23,3.2,1,1715.7881108387867
1249,0.73,Very Good,G,VVS1,62.9,59.0,5.7,5.78,3.61,1,3772.2160357629327
1250,1.23,Premium,H,VS1,61.1,58.0,6.91,6.86,4.21,0,7599.611158601633
1251,1.02,Premium,H,VS2,61.9,57.0,6.5,6.4,3.99,1,4877.284419960224
1252,1.0,Ideal,E,SI1,61.6,55.0,6.45,6.43,3.97,0,5388.015455053946
1253,0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48,1,2455.4796955905776
1254,1.5,Very Good,E,SI2,62.8,57.0,7.17,7.23,4.52,0,8910.415675095952
1255,2.0,Very Good,J,VVS2,63.0,59.0,7.97,8.0,5.03,0,13025.106424301237
1256,0.3,Very Good,G,VS2,63.1,56.0,4.28,4.25,2.69,1,515.9618603686255
